"","Survived","Pclass","Sex","Age","Fare","Embarked","FamilySize"
"692","1","3","female",4,13.4167,"C",2
"693","1","3","male",24,56.4958,"S",1
"694","0","3","male",25,7.225,"C",1
"695","0","1","male",60,26.55,"S",1
"696","0","2","male",52,13.5,"S",1
"697","0","3","male",44,8.05,"S",1
"698","1","3","female",24,7.7333,"Q",1
"699","0","1","male",49,110.8833,"C",3
"700","0","3","male",42,7.65,"S",1
"701","1","1","female",18,227.525,"C",2
"702","1","1","male",35,26.2875,"S",1
"703","0","3","female",18,14.4542,"C",2
"704","0","3","male",25,7.7417,"Q",1
"705","0","3","male",26,7.8542,"S",2
"706","0","2","male",39,26,"S",1
"707","1","2","female",45,13.5,"S",1
"708","1","1","male",42,26.2875,"S",1
"709","1","1","female",22,151.55,"S",1
"710","1","3","male",24,15.2458,"C",3
"711","1","1","female",24,49.5042,"C",1
"712","0","1","male",39,26.55,"S",1
"713","1","1","male",48,52,"S",2
"714","0","3","male",29,9.4833,"S",1
"715","0","2","male",52,13,"S",1
"716","0","3","male",19,7.65,"S",1
"717","1","1","female",38,227.525,"C",1
"718","1","2","female",27,10.5,"S",1
"719","0","3","male",24,15.5,"Q",1
"720","0","3","male",33,7.775,"S",1
"721","1","2","female",6,33,"S",2
"722","0","3","male",17,7.0542,"S",2
"723","0","2","male",34,13,"S",1
"724","0","2","male",50,13,"S",1
"725","1","1","male",27,53.1,"S",2
"726","0","3","male",20,8.6625,"S",1
"727","1","2","female",30,21,"S",4
"728","1","3","female",24,7.7375,"Q",1
"729","0","2","male",25,26,"S",2
"730","0","3","female",25,7.925,"S",2
"731","1","1","female",29,211.3375,"S",1
"732","0","3","male",11,18.7875,"C",1
"733","0","2","male",29,13,"S",1
"734","0","2","male",23,13,"S",1
"735","0","2","male",23,13,"S",1
"736","0","3","male",28.5,16.1,"S",1
"737","0","3","female",48,34.375,"S",5
"738","1","1","male",35,512.3292,"C",1
"739","0","3","male",24,7.8958,"S",1
"740","0","3","male",24,7.8958,"S",1
"741","1","1","male",39,30,"S",1
"742","0","1","male",36,78.85,"S",2
"743","1","1","female",21,262.375,"C",5
"744","0","3","male",24,16.1,"S",2
"745","1","3","male",31,7.925,"S",1
"746","0","1","male",70,71,"S",3
"747","0","3","male",16,20.25,"S",3
"748","1","2","female",30,13,"S",1
"749","0","1","male",19,53.1,"S",2
"750","0","3","male",31,7.75,"Q",1
"751","1","2","female",4,23,"S",3
"752","1","3","male",6,12.475,"S",2
"753","0","3","male",33,9.5,"S",1
"754","0","3","male",23,7.8958,"S",1
"755","1","2","female",48,65,"S",4
"756","1","2","male",0.67,14.5,"S",3
"757","0","3","male",28,7.7958,"S",1
"758","0","2","male",18,11.5,"S",1
"759","0","3","male",34,8.05,"S",1
"760","1","1","female",33,86.5,"S",1
"761","0","3","male",24,14.5,"S",1
"762","0","3","male",41,7.125,"S",1
"763","1","3","male",20,7.2292,"C",1
"764","1","1","female",36,120,"S",4
"765","0","3","male",16,7.775,"S",1
"766","1","1","female",51,77.9583,"S",2
"767","0","1","male",39,39.6,"C",1
"768","0","3","female",30.5,7.75,"Q",1
"769","0","3","male",24,24.15,"Q",2
"770","0","3","male",32,8.3625,"S",1
"771","0","3","male",24,9.5,"S",1
"772","0","3","male",48,7.8542,"S",1
"773","0","2","female",57,10.5,"S",1
"774","0","3","male",24,7.225,"C",1
"775","1","2","female",54,23,"S",5
"776","0","3","male",18,7.75,"S",1
"777","0","3","male",24,7.75,"Q",1
"778","1","3","female",5,12.475,"S",1
"779","0","3","male",24,7.7375,"Q",1
"780","1","1","female",43,211.3375,"S",2
"781","1","3","female",13,7.2292,"C",1
"782","1","1","female",17,57,"S",2
"783","0","1","male",29,30,"S",1
"784","0","3","male",24,23.45,"S",4
"785","0","3","male",25,7.05,"S",1
"786","0","3","male",25,7.25,"S",1
"787","1","3","female",18,7.4958,"S",1
"788","0","3","male",8,29.125,"Q",6
"789","1","3","male",1,20.575,"S",4
"790","0","1","male",46,79.2,"C",1
"791","0","3","male",24,7.75,"Q",1
"792","0","2","male",16,26,"S",1
"793","0","3","female",24,69.55,"S",11
"794","0","1","male",39,30.6958,"C",1
"795","0","3","male",25,7.8958,"S",1
"796","0","2","male",39,13,"S",1
"797","1","1","female",49,25.9292,"S",1
"798","1","3","female",31,8.6833,"S",1
"799","0","3","male",30,7.2292,"C",1
"800","0","3","female",30,24.15,"S",3
"801","0","2","male",34,13,"S",1
"802","1","2","female",31,26.25,"S",3
"803","1","1","male",11,120,"S",4
"804","1","3","male",0.42,8.5167,"C",2
"805","1","3","male",27,6.975,"S",1
"806","0","3","male",31,7.775,"S",1
"807","0","1","male",39,35.25,"S",1
"808","0","3","female",18,7.775,"S",1
"809","0","2","male",39,13,"S",1
"810","1","1","female",33,53.1,"S",2
"811","0","3","male",26,7.8875,"S",1
"812","0","3","male",39,24.15,"S",1
"813","0","2","male",35,10.5,"S",1
"814","0","3","female",6,31.275,"S",7
"815","0","3","male",30.5,8.05,"S",1
"816","0","1","male",39,35.25,"S",1
"817","0","3","female",23,7.925,"S",1
"818","0","2","male",31,37.0042,"C",3
"819","0","3","male",43,6.45,"S",1
"820","0","3","male",10,27.9,"S",6
"821","1","1","female",52,93.5,"S",3
"822","1","3","male",27,8.6625,"S",1
"823","0","1","male",38,33,"S",1
"824","1","3","female",27,12.475,"S",2
"825","0","3","male",2,39.6875,"S",6
"826","0","3","male",24,6.95,"Q",1
"827","0","3","male",24,56.4958,"S",1
"828","1","2","male",1,37.0042,"C",3
"829","1","3","male",24,7.75,"Q",1
"830","1","1","female",62,80,"S",1
"831","1","3","female",15,14.4542,"C",2
"832","1","2","male",0.83,18.75,"S",3
"833","0","3","male",24,7.2292,"C",1
"834","0","3","male",23,7.8542,"S",1
"835","0","3","male",18,8.3,"S",1
"836","1","1","female",39,83.1583,"C",3
"837","0","3","male",21,8.6625,"S",1
"838","0","3","male",24,8.05,"S",1
"839","1","3","male",32,56.4958,"S",1
"840","1","1","male",39,29.7,"C",1
"841","0","3","male",20,7.925,"S",1
"842","0","2","male",16,10.5,"S",1
"843","1","1","female",30,31,"C",1
"844","0","3","male",34.5,6.4375,"C",1
"845","0","3","male",17,8.6625,"S",1
"846","0","3","male",42,7.55,"S",1
"847","0","3","male",24,69.55,"S",11
"848","0","3","male",35,7.8958,"C",1
"849","0","2","male",28,33,"S",2
"850","1","1","female",39,89.1042,"C",2
"851","0","3","male",4,31.275,"S",7
"852","0","3","male",74,7.775,"S",1
"853","0","3","female",9,15.2458,"C",3
"854","1","1","female",16,39.4,"S",2
"855","0","2","female",44,26,"S",2
"856","1","3","female",18,9.35,"S",2
"857","1","1","female",45,164.8667,"S",3
"858","1","1","male",51,26.55,"S",1
"859","1","3","female",24,19.2583,"C",4
"860","0","3","male",24,7.2292,"C",1
"861","0","3","male",41,14.1083,"S",3
"862","0","2","male",21,11.5,"S",2
"863","1","1","female",48,25.9292,"S",1
"864","0","3","female",24,69.55,"S",11
"865","0","2","male",24,13,"S",1
"866","1","2","female",42,13,"S",1
"867","1","2","female",27,13.8583,"C",2
"868","0","1","male",31,50.4958,"S",1
"869","0","3","male",24,9.5,"S",1
"870","1","3","male",4,11.1333,"S",3
"871","0","3","male",26,7.8958,"S",1
"872","1","1","female",47,52.5542,"S",3
"873","0","1","male",33,5,"S",1
"874","0","3","male",47,9,"S",1
"875","1","2","female",28,24,"C",2
"876","1","3","female",15,7.225,"C",1
"877","0","3","male",20,9.8458,"S",1
"878","0","3","male",19,7.8958,"S",1
"879","0","3","male",24,7.8958,"S",1
"880","1","1","female",56,83.1583,"C",2
"881","1","2","female",25,26,"S",2
"882","0","3","male",33,7.8958,"S",1
"883","0","3","female",22,10.5167,"S",1
"884","0","2","male",28,10.5,"S",1
"885","0","3","male",25,7.05,"S",1
"886","0","3","female",39,29.125,"Q",6
"887","0","2","male",27,13,"S",1
"888","1","1","female",19,30,"S",1
"889","0","3","female",24,23.45,"S",4
"890","1","1","male",26,30,"C",1
"891","0","3","male",32,7.75,"Q",1
